@relation whatever

@attribute completionTime numeric
@attribute totalTime numeric
@attribute jumpsNumber numeric
@attribute duckNumber numeric
@attribute timeSpentDucking numeric
@attribute timesPressedRun numeric
@attribute timeSpentRunning numeric
@attribute timeRunningRight numeric
@attribute timeRunningLeft numeric
@attribute emptyBlocksDestroyed numeric
@attribute coinsCollected numeric
@attribute coinBlocksDestroyed numeric
@attribute powerBlocksDestroyed numeric
@attribute kickedShells numeric
@attribute enemyKillByFire numeric
@attribute enemyKillByKickingShell numeric
@attribute totalTimeLittleMode numeric
@attribute totalTimeLargeMode numeric
@attribute totalTimeFireMode numeric
@attribute timesSwichingPower numeric
@attribute aimlessJumps numeric
@attribute percentageBlocksDestroyed numeric
@attribute percentageCoinBlocksDestroyed numeric
@attribute percentageEmptyBlockesDestroyed numeric
@attribute percentagePowerBlockDestroyed numeric
@attribute timesOfDeathByFallingIntoGap numeric
@attribute totalEnemies numeric
@attribute totalEmptyBlocks numeric
@attribute totalCoinBlocks numeric
@attribute totalpowerBlocks numeric
@attribute totalCoins numeric
@attribute timesOfDeathByRedTurtle numeric
@attribute timesOfDeathByGoomba numeric
@attribute timesOfDeathByGreenTurtle numeric
@attribute timesOfDeathByArmoredTurtle numeric
@attribute timesOfDeathByJumpFlower numeric
@attribute timesOfDeathByCannonBall numeric
@attribute timesOfDeathByChompFlower numeric
@attribute RedTurtlesKilled numeric
@attribute GreenTurtlesKilled numeric
@attribute ArmoredTurtlesKilled numeric
@attribute GoombasKilled numeric
@attribute CannonBallKilled numeric
@attribute JumpFlowersKilled numeric
@attribute gp.ChompFlowersKilled numeric
@attribute BLOCKS_EMPTY numeric
@attribute BLOCKS_COINS numeric
@attribute BLOCKS_POWER numeric
@attribute COINS numeric
@attribute GAPS numeric
@attribute HILLS numeric
@attribute STAIRS numeric
@attribute ENEMIES_RED_KOOPA numeric
@attribute ENEMIES_GREEN_KOOPA numeric
@attribute ENEMIES_GOOMBA numeric
@attribute ENEMIES_SPIKES numeric
@attribute ENEMIES_FLOWER numeric
@attribute CANNONS numeric
@attribute PIPES numeric
@attribute DIFFICULTY numeric
@attribute FUN numeric


@data
23 , 23 , 9 , 0 , 0 , 9 , 7 , 15 , 3 , 0 , 0 , 0 , 0 , 1 , 0 , 3 , 23 , 0 , 0 , 1 , 8 , 0 , 0 , 0 , 0 , 0 , 22 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 5 , 1 , 1 , 4 , 2 , 9 , 5 , 2 , 8 , 7 , 4 , 10 
14 , 14 , 7 , 0 , 0 , 3 , 12 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14 , 0 , 0 , 1 , 7 , 0 , 0 , 0 , 0 , 0 , 77 , 13 , 6 , 2 , 32 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 3 , 4 , 0 , 1 , 1 , 3 , 1 , 0 , 4 , 2 , 9 , 1 , 1 
20 , 20 , 9 , 0 , 0 , 1 , 1 , 13 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 20 , 0 , 0 , 1 , 9 , 0 , 0 , 0 , 0 , 0 , 29 , 2 , 1 , 1 , 4 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 1 , 1 , 4 , 6 , 1 , 0 , 7 , 6 , 8 , 4 , 4 , 7 , 3 , 3 , 7 
4 , 4 , 1 , 0 , 0 , 1 , 1 , 3 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 158 , 13 , 5 , 3 , 21 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 13 , 5 , 3 , 21 , 5 , 0 , 1 , 41 , 41 , 32 , 34 , 10 , 2 , 7 , 28 , 3 
6 , 6 , 2 , 0 , 0 , 2 , 3 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 148 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 2 , 1 , 1 , 20 , 41 , 29 , 47 , 11 , 5 , 6 , 26 , 2 
5 , 5 , 1 , 0 , 0 , 2 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 50 , 12 , 3 , 2 , 25 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 12 , 3 , 2 , 25 , 7 , 0 , 2 , 10 , 16 , 11 , 6 , 7 , 11 , 3 , 27 , 2 
8 , 8 , 4 , 0 , 0 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 1 , 4 , 0 , 0 , 0 , 0 , 0 , 34 , 0 , 0 , 0 , 19 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19 , 0 , 7 , 0 , 13 , 12 , 9 , 0 , 0 , 0 , 0 , 2 , 7 
47 , 47 , 31 , 0 , 0 , 5 , 4 , 39 , 4 , 1 , 31 , 6 , 1 , 1 , 0 , 0 , 41 , 7 , 0 , 3 , 20 , 1 , 1 , 0 , 0 , 0 , 9 , 27 , 5 , 4 , 59 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 2 , 3 , 0 , 14 , 1 , 4 , 1 , 8 , 9 , 5 , 0 , 0 , 0 , 0 , 1 , 9 
69 , 69 , 38 , 0 , 0 , 6 , 5 , 45 , 3 , 0 , 23 , 6 , 3 , 0 , 0 , 0 , 43 , 15 , 12 , 7 , 26 , 0 , 0 , 0 , 0 , 1 , 4 , 23 , 15 , 6 , 46 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 0 , 11 , 2 , 1 , 12 , 0 , 1 , 0 , 7 , 11 , 20 , 0 , 0 , 0 , 0 , 2 , 8 
69 , 69 , 25 , 0 , 0 , 7 , 4 , 47 , 4 , 0 , 2 , 0 , 0 , 7 , 0 , 5 , 69 , 0 , 0 , 1 , 17 , 0 , 0 , 0 , 0 , 0 , 26 , 4 , 6 , 3 , 19 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 3 , 0 , 4 , 0 , 0 , 0 , 4 , 6 , 3 , 19 , 5 , 2 , 2 , 10 , 8 , 8 , 0 , 0 , 0 , 0 , 2 , 8 
